"filename", "language", "Python", "HTML", "PostCSS", "JavaScript", "C++", "comment", "blank", "total"
"c:\Users\leon0\Desktop\development\DockChain-Website-1\DockChain\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\DockChain\asgi.py", "Python", 4, 0, 0, 0, 0, 8, 5, 17
"c:\Users\leon0\Desktop\development\DockChain-Website-1\DockChain\settings.py", "Python", 86, 0, 0, 0, 0, 27, 37, 150
"c:\Users\leon0\Desktop\development\DockChain-Website-1\DockChain\urls.py", "Python", 11, 0, 0, 0, 0, 16, 2, 29
"c:\Users\leon0\Desktop\development\DockChain-Website-1\DockChain\wsgi.py", "Python", 4, 0, 0, 0, 0, 8, 5, 17
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Driver\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Driver\admin.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Driver\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Driver\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Driver\models.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Driver\templates\driverinterface.html", "HTML", 0, 147, 0, 0, 0, 8, 7, 162
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Driver\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Driver\urls.py", "Python", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Driver\views.py", "Python", 49, 0, 0, 0, 0, 0, 6, 55
"c:\Users\leon0\Desktop\development\DockChain-Website-1\EasyOCRCode\EasyOCR_test.py", "Python", 61, 0, 0, 0, 0, 88, 28, 177
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Port\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Port\admin.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Port\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Port\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Port\models.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Port\templates\portinterface.html", "HTML", 0, 193, 0, 0, 0, 149, 7, 349
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Port\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Port\urls.py", "Python", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\leon0\Desktop\development\DockChain-Website-1\Port\views.py", "Python", 49, 0, 0, 0, 0, 4, 13, 66
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\Email2FA.py", "Python", 29, 0, 0, 0, 0, 1, 4, 34
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\PasswordChange2FA.py", "Python", 21, 0, 0, 0, 0, 18, 3, 42
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\admin.py", "Python", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\context_processors.py", "Python", 57, 0, 0, 0, 0, 1, 8, 66
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\forms.py", "Python", 16, 0, 0, 0, 0, 1, 4, 21
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\migrations\0001_initial.py", "Python", 33, 0, 0, 0, 0, 1, 7, 41
"c:\Users\leon0\Desktop\development\DockChain-Website-1\accounts\migrations\0002_user_port_location.py", "Python", 12, 0, 0, 0, 0, 1, 6, 19
